year,month,subscribe,gender,count
2013,10,0,NA,NA,97446
2013,10,1,10,M,0
2013,10,1,10,F,0
2013,10,1,10,NA,0
2013,10,1,20,M,7532
2013,10,1,20,F,1931
2013,10,1,20,NA,1
2013,10,1,30,M,189672
2013,10,1,30,F,75101
2013,10,1,30,NA,2
2013,10,1,40,M,240534
2013,10,1,40,F,75773
2013,10,1,40,NA,0
2013,10,1,50,M,160847
2013,10,1,50,F,40716
2013,10,1,50,NA,18
2013,10,1,60,M,87140
2013,10,1,60,F,26456
2013,10,1,60,NA,0
2013,10,1,70,M,25860
2013,10,1,70,F,5450
2013,10,1,70,NA,32
2013,10,1,>70,M,2658
2013,10,1,>70,F,482
2013,10,1,>70,NA,0
2013,10,1,NA,M,49
2013,10,1,NA,F,12
2013,10,1,NA,NA,0
2013,11,0,10,M,0
2013,11,0,10,F,0
2013,11,0,10,NA,0
2013,11,0,20,M,0
2013,11,0,20,F,0
2013,11,0,20,NA,0
2013,11,0,30,M,0
2013,11,0,30,F,0
2013,11,0,30,NA,0
2013,11,0,40,M,0
2013,11,0,40,F,0
2013,11,0,40,NA,0
2013,11,0,50,M,0
2013,11,0,50,F,0
2013,11,0,50,NA,0
2013,11,0,60,M,0
2013,11,0,60,F,0
2013,11,0,60,NA,0
2013,11,0,70,M,0
2013,11,0,70,F,0
2013,11,0,70,NA,0
2013,11,0,>70,M,0
2013,11,0,>70,F,0
2013,11,0,>70,NA,0
2013,11,0,NA,M,0
2013,11,0,NA,F,0
2013,11,0,NA,NA,43973
2013,11,1,10,M,0
2013,11,1,10,F,0
2013,11,1,10,NA,0
2013,11,1,20,M,5384
2013,11,1,20,F,1500
2013,11,1,20,NA,0
2013,11,1,30,M,128928
2013,11,1,30,F,47907
2013,11,1,30,NA,7
2013,11,1,40,M,159310
2013,11,1,40,F,46368
2013,11,1,40,NA,0
2013,11,1,50,M,110881
2013,11,1,50,F,26735
2013,11,1,50,NA,20
2013,11,1,60,M,62264
2013,11,1,60,F,18156
2013,11,1,60,NA,0
2013,11,1,70,M,18678
2013,11,1,70,F,3390
2013,11,1,70,NA,18
2013,11,1,>70,M,1919
2013,11,1,>70,F,309
2013,11,1,>70,NA,0
2013,11,1,NA,M,21
2013,11,1,NA,F,6
2013,11,1,NA,NA,0
2013,12,0,10,M,0
2013,12,0,10,F,0
2013,12,0,10,NA,0
2013,12,0,20,M,0
2013,12,0,20,F,0
2013,12,0,20,NA,0
2013,12,0,30,M,0
2013,12,0,30,F,0
2013,12,0,30,NA,0
2013,12,0,40,M,0
2013,12,0,40,F,0
2013,12,0,40,NA,0
2013,12,0,50,M,0
2013,12,0,50,F,0
2013,12,0,50,NA,0
2013,12,0,60,M,0
2013,12,0,60,F,0
2013,12,0,60,NA,0
2013,12,0,70,M,0
2013,12,0,70,F,0
2013,12,0,70,NA,0
2013,12,0,>70,M,0
2013,12,0,>70,F,0
2013,12,0,>70,NA,0
2013,12,0,NA,M,0
2013,12,0,NA,F,0
2013,12,0,NA,NA,19381
2013,12,1,10,M,0
2013,12,1,10,F,0
2013,12,1,10,NA,0
2013,12,1,20,M,3050
2013,12,1,20,F,874
2013,12,1,20,NA,0
2013,12,1,30,M,85725
2013,12,1,30,F,26680
2013,12,1,30,NA,5
2013,12,1,40,M,107065
2013,12,1,40,F,28618
2013,12,1,40,NA,0
2013,12,1,50,M,78178
2013,12,1,50,F,17309
2013,12,1,50,NA,8
2013,12,1,60,M,45854
2013,12,1,60,F,12897
2013,12,1,60,NA,0
2013,12,1,70,M,14177
2013,12,1,70,F,2436
2013,12,1,70,NA,1
2013,12,1,>70,M,1528
2013,12,1,>70,F,165
2013,12,1,>70,NA,0
2013,12,1,NA,M,9
2013,12,1,NA,F,6
2013,12,1,NA,NA,0
2014,1,0,10,M,0
2014,1,0,10,F,0
2014,1,0,10,NA,0
2014,1,0,20,M,0
2014,1,0,20,F,0
2014,1,0,20,NA,0
2014,1,0,30,M,0
2014,1,0,30,F,0
2014,1,0,30,NA,0
2014,1,0,40,M,0
2014,1,0,40,F,0
2014,1,0,40,NA,0
2014,1,0,50,M,0
2014,1,0,50,F,0
2014,1,0,50,NA,0
2014,1,0,60,M,0
2014,1,0,60,F,0
2014,1,0,60,NA,0
2014,1,0,70,M,0
2014,1,0,70,F,0
2014,1,0,70,NA,0
2014,1,0,>70,M,0
2014,1,0,>70,F,0
2014,1,0,>70,NA,0
2014,1,0,NA,M,0
2014,1,0,NA,F,0
2014,1,0,NA,NA,7254
2014,1,1,10,M,0
2014,1,1,10,F,0
2014,1,1,10,NA,0
2014,1,1,20,M,1215
2014,1,1,20,F,345
2014,1,1,20,NA,0
2014,1,1,30,M,49285
2014,1,1,30,F,14635
2014,1,1,30,NA,4
2014,1,1,40,M,79720
2014,1,1,40,F,19323
2014,1,1,40,NA,0
2014,1,1,50,M,58157
2014,1,1,50,F,11940
2014,1,1,50,NA,1
2014,1,1,60,M,35335
2014,1,1,60,F,8518
2014,1,1,60,NA,0
2014,1,1,70,M,11217
2014,1,1,70,F,2108
2014,1,1,70,NA,10
2014,1,1,>70,M,1165
2014,1,1,>70,F,155
2014,1,1,>70,NA,0
2014,1,1,NA,M,12
2014,1,1,NA,F,1
2014,1,1,NA,NA,0
2014,2,0,10,M,0
2014,2,0,10,F,0
2014,2,0,10,NA,0
2014,2,0,20,M,0
2014,2,0,20,F,0
2014,2,0,20,NA,0
2014,2,0,30,M,0
2014,2,0,30,F,0
2014,2,0,30,NA,0
