id,name,lat,long,nbBikes,nbEmptyDocks,installed,locked,temporary,public
178,Jefferson Memorial,38.879819,-77.037413,8,13,true,false,false,true
179,Good Hope Rd & 14th St SE,38.866611,-76.985238,7,8,true,false,false,true
180,Glebe Rd & 11th St N,38.883921,-77.116817,5,6,true,false,false,true
181,Wilson Blvd & N Quincy St,38.880012,-77.107854,8,7,true,false,false,true
182,Fairfax Dr & Kenmore St,38.884616,-77.10108,4,7,true,false,false,true
183,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941,11,8,true,false,false,true
185,20th & L St NW,38.903584,-77.044789,5,13,true,false,false,true
186,12th & L St NW,38.903819,-77.0284,9,10,true,false,false,true
187,21st St & Pennsylvania Ave NW,38.901539,-77.046564,7,12,true,false,false,true
188,19th & K St NW,38.902204,-77.04337,10,12,true,false,false,true
189,Prince St & Union St,38.803124,-77.040363,9,10,true,false,false,true
190,Market Square / King St & Royal St,38.804718,-77.043363,6,9,true,false,false,true
191,Saint Asaph St & Pendleton  St,38.810743,-77.044664,6,9,true,false,false,true
192,King St & Patrick St,38.805317,-77.049883,9,6,true,false,false,true
193,15th & K St NW,38.902,-77.03353,12,15,true,false,false,true
194,Commerce St & Fayette St,38.805648,-77.05293,9,6,true,false,false,true
195,Henry St & Pendleton St,38.811456,-77.050276,10,7,true,false,false,true
196,Braddock Rd Metro,38.814577,-77.052808,12,17,true,false,false,true
197,King St Metro South,38.805767,-77.06072,11,12,true,false,false,true
198,24th & N St NW,38.9066,-77.05152,9,6,true,false,false,true
199,10th & E St NW,38.895914,-77.026064,8,6,true,false,false,true
200,22nd & I St NW / Foggy Bottom,38.90088,-77.048911,2,13,true,false,false,true
201,Utah St & 11th St N ,38.883669,-77.113905,3,8,true,false,false,true
202,Barton St & 10th St N,38.884961,-77.08777,5,6,true,false,false,true
203,Arlington Blvd & N Queen St,38.889365,-77.077294,6,5,true,false,false,true
204,Lincoln Memorial,38.888251,-77.049426,19,6,true,false,false,true
206,20th St & Virginia Ave NW,38.894722,-77.045128,6,9,true,false,false,true
207,5th St & Massachusetts Ave NW,38.90093,-77.018677,14,5,true,false,false,true
208,39th & Veazey St NW,38.943837,-77.077078,6,8,true,false,false,true
209,Fessenden St & Wisconsin Ave NW,38.954812,-77.082426,10,4,true,false,false,true
210,M St & Delaware Ave NE,38.905707,-77.003041,10,12,true,false,false,true
211,Columbia Pike & S Courthouse Rd,38.863833,-77.080319,7,8,true,false,false,true
212,Walter Reed Community Center / Walter Reed Dr & 16th St S,38.857803,-77.086733,4,7,true,false,false,true
213,28th St S & S Meade St,38.846222,-77.069275,9,6,true,false,false,true
214,18th St & Wyoming Ave NW,38.918809,-77.041571,12,9,true,false,false,true
215,5th & Kennedy St NW,38.956595,-77.019815,9,6,true,false,false,true
216,Georgia Ave & Emerson St NW,38.949662,-77.027333,7,12,true,false,false,true
217,14th & Upshur St NW,38.942016,-77.032652,10,9,true,false,false,true
218,14th St & Colorado Ave NW,38.956432,-77.032947,7,12,true,false,false,true
219,S Troy St & 26th St S,38.847977,-77.075104,9,2,true,false,false,true
220,S Four Mile Run Dr & S Shirlington Rd,38.8444,-77.085931,4,7,true,false,false,true
221,S Oakland St & Columbia Pike,38.860789,-77.09586,8,3,true,false,false,true
222,S Four Mile Run & Walter Reed Dr,38.84736,-77.095431,8,3,true,false,false,true
223,S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555,12,3,true,false,false,true
224,S Kenmore & 24th St S,38.848454,-77.084918,5,6,true,false,false,true
225,13th St & Eastern Ave,38.987,-77.029417,9,5,true,false,false,true
226,Wisconsin Ave & O St NW,38.90849,-77.063586,7,12,true,false,false,true
227,S George Mason Dr & 13th St S,38.854691,-77.100555,6,5,true,false,false,true
228,Connecticut & Nebraska Ave NW,38.955016,-77.069956,11,12,true,false,false,true
229,17th St & Massachusetts Ave NW,38.908142,-77.038359,6,13,true,false,false,true
230,15th & Euclid St  NW,38.92333,-77.0352,3,12,true,false,false,true
231,8th & East Capitol St NE,38.889988,-76.995193,5,5,true,false,false,true
232,New Jersey Ave & R St NW,38.912659,-77.017669,7,8,true,false,false,true
233,15th & East Capitol St NE,38.889908,-76.983326,5,6,true,false,false,true
234,8th & F St NE,38.897274,-76.994749,5,9,true,false,false,true
235,18th St & Rhode Island Ave NE,38.927095,-76.978924,9,6,true,false,false,true
236,15th & F St NE,38.897195,-76.983575,12,7,true,false,false,true
237,12th & Irving St NE,38.928644,-76.990955,7,8,true,false,false,true
239,Alabama & MLK Ave SE,38.843222,-76.999388,7,4,true,false,false,true
240,Pleasant St & MLK Ave SE,38.863897,-76.990037,7,4,true,false,false,true
241,Neal St & Trinidad Ave NE,38.903732,-76.987211,3,11,true,false,false,true
242,12th & U St NW,38.916787,-77.028139,2,29,true,false,false,true
243,S George Mason Dr & Four Mile Run,38.852248,-77.105022,7,4,true,false,false,true
244,S Stafford & 34th St S,38.834108,-77.087323,7,4,true,false,false,true
245,N Pershing Dr & Wayne St,38.880705,-77.08596,4,7,true,false,false,true
246,Columbia Pike & S Orme St,38.867262,-77.072315,5,6,true,false,false,true
247,3rd St & Pennsylvania Ave SE,38.887378,-77.001955,11,4,true,false,false,true
248,8th & D St NW,38.894851,-77.02324,9,5,true,false,false,true
249,3rd & Elm St NW,38.917622,-77.01597,4,9,true,false,false,true
250,Rhode Island Ave & V St NE,38.918155,-77.004746,5,14,true,false,false,true
251,Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917,14,12,true,false,false,true
252,Washington & Independence Ave SW/HHS,38.886978,-77.013769,16,14,true,false,false,true
253,Independence Ave & L\'Enfant Plaza SW/DOE,38.887312,-77.025762,9,5,true,false,false,true
254,Hamlin & 7th St NE,38.927497,-76.997194,7,8,true,false,false,true
255,Columbia Pike & S Walter Reed Dr,38.862478,-77.086599,7,5,true,false,false,true
